#       time        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral        phi integral
#       r =            50.000000           55.555556           61.111111           66.666667           72.222222           77.777778           83.333333           88.888889           94.444444          100.000000          105.555556          111.111111          116.666667          122.222222          127.777778          133.333333          138.888889          144.444444          150.000000          155.555556          161.111111          166.666667          172.222222          177.777778          183.333333          188.888889          194.444444          200.000000          205.555556          211.111111          216.666667          222.222222          227.777778          233.333333          238.888889          244.444444          250.000000          255.555556          261.111111          266.666667          272.222222          277.777778          283.333333          288.888889          294.444444          300.000000          305.555556          311.111111          316.666667          322.222222          327.777778          333.333333          338.888889          344.444444          350.000000          355.555556          361.111111          366.666667          372.222222          377.777778          383.333333          388.888889          394.444444          400.000000
   1.2500000    1.3043368500e-09    6.9395568374e-10    3.2730347341e-10   -2.0232500887e-08   -1.5276313559e-08   -6.5693018919e-09   -2.4068193805e-09   -8.2092547332e-10   -2.5642894527e-10   -2.7469307795e-11    7.1948332091e-12    5.2997761121e-12    3.7686171601e-12    3.1069151842e-12   -8.7950191447e-10   -5.2163420551e-09   -5.3929184401e-09   -4.0002642127e-09   -2.8319679363e-09   -1.7153466703e-09   -9.9113760799e-10   -5.8504649048e-10   -3.9507252613e-10   -1.9671392393e-10   -1.3077377478e-10   -5.5599048220e-11   -3.4825503994e-11   -1.2253966127e-11   -5.6758746623e-13   -1.9145712938e-13    1.0213663542e-13    3.1899129379e-14    2.5233269592e-14    2.1571385632e-14    1.7755355182e-14    2.4280767679e-14   -8.9569022622e-13   -6.4209263938e-11   -8.8811322559e-10   -1.2557034804e-09   -1.4670548786e-09   -1.3859052961e-09   -1.1664717047e-09   -1.0431583412e-09   -8.2446862886e-10   -7.2586111378e-10   -5.6049989291e-10   -4.4236640798e-10   -3.1108376616e-10   -2.4673819386e-10   -2.0161313395e-10   -1.4344097638e-10   -1.1736314340e-10   -1.0855939560e-10   -6.7030119643e-11   -5.0523149176e-11   -3.7600875190e-11   -3.2942697924e-11   -2.6245464163e-11   -1.2249654915e-11   -9.0737241043e-12   -8.8763879992e-12   -8.2869525523e-12   -3.2942111241e-12
   2.5000000    4.3427997173e-09    2.4118187610e-09    1.6566485689e-09   -1.4260576950e-08   -1.9707115304e-08   -8.8354200272e-09   -3.3412303877e-09   -1.3293904641e-09   -4.2075464212e-10    7.5110771882e-12    2.5350168270e-11    1.7587588463e-11    1.3116476629e-11   -4.1832314210e-12   -3.5119014596e-09   -6.2691938877e-09   -6.2268145949e-09   -4.6364210425e-09   -3.2205805368e-09   -2.0202941293e-09   -1.2685942482e-09   -7.7600414620e-10   -3.5772745156e-10   -2.6866368093e-10   -1.4996814599e-10   -9.3002860266e-11   -3.7978420119e-11   -8.7656108115e-12   -4.5075441919e-12    8.3236148005e-14    5.4601752629e-13    1.0429714536e-13    8.9933817657e-14    7.7686976920e-14    6.0515299115e-14    2.1122911203e-13    6.8263228031e-12   -3.7004708510e-10   -1.1036395106e-09   -1.6392954097e-09   -1.7896424399e-09   -1.6426731948e-09   -1.4741885969e-09   -1.2118420543e-09   -1.0428163935e-09   -8.6641296580e-10   -7.0481652555e-10   -5.2452891879e-10   -4.0956655277e-10   -3.0970030899e-10   -2.3372143080e-10   -1.8393683853e-10   -1.5489390015e-10   -1.1659262375e-10   -9.1205410619e-11   -6.1424653858e-11   -4.8230505879e-11   -4.0429569808e-11   -2.6597662213e-11   -1.8028019222e-11   -1.2745270157e-11   -1.0629984695e-11   -8.1025590147e-12   -3.6400346170e-12
   3.7500000    6.7974238990e-09    3.7535899620e-09   -1.5362023281e-08    1.1848790487e-08   -1.7144764284e-09   -2.2785519073e-09   -6.4829278974e-10    8.2798752093e-12   -2.5280382557e-12    2.9292533826e-12    3.1151174631e-12    2.8336559985e-11    2.0667286130e-11    8.5326817667e-11   -4.0271427340e-09   -2.6341312931e-10   -1.0708294747e-09   -1.1847373354e-09   -5.9356340393e-10   -5.0923573879e-10   -2.2925116081e-10   -2.2472436841e-10    1.4600348713e-11   -7.3964636940e-11    5.1468254897e-11   -4.2977652530e-11    1.8223583750e-11    1.8956059817e-11   -9.8579299724e-12    2.4346053363e-12    4.5758234790e-13   -5.5490007809e-15    1.4627594302e-13    1.2600415728e-13    7.6306103408e-14   -9.7794159280e-13    3.0500118626e-11   -6.8724183195e-10   -2.8368501250e-10   -5.4914357487e-10   -4.2732932342e-10   -3.3838970861e-10   -4.3336918710e-10   -1.9834846225e-10   -2.9477345330e-10   -1.2812354152e-10   -1.4165386239e-10   -6.0874014585e-11   -9.4786049873e-11   -5.2584733349e-11    5.1823370520e-12   -2.5417329073e-11   -3.6148494094e-11    2.6868762092e-11   -1.7398434481e-11   -2.7950599560e-14    1.1640942713e-12    6.0707826448e-13    1.5032984426e-11   -4.6937804333e-12   -4.0443397262e-12    1.7722328409e-12    6.5363619430e-12    2.9042121942e-12
   5.0000000    5.1103633162e-09    3.3354668375e-09   -2.4083872996e-08    3.3110017674e-08    3.2991805834e-08    1.1969343875e-08    3.4197156566e-09    1.6300563533e-09    6.0268376438e-10    2.0550919893e-11   -7.4984476812e-12    2.9524133628e-11    2.0525543772e-11    1.0370663580e-10   -7.4997911594e-10    9.6160900744e-09    8.6894593283e-09    5.7469298319e-09    4.5778002309e-09    2.8447487732e-09    1.9029433425e-09    1.1961340882e-09    7.1799448945e-10    4.4750168202e-10    3.5193436645e-10    1.1688351605e-10    1.0822247198e-10    5.2267697426e-11   -5.4621994379e-12    4.0572280826e-12    1.0704902029e-12   -3.4055494385e-13    1.4525759446e-13    1.1517695727e-13    2.3098409061e-13   -4.4911217250e-12   -1.8573172708e-11   -5.7109611182e-10    1.1965466495e-09    1.7236515938e-09    2.1338326603e-09    2.0221782964e-09    1.6753129175e-09    1.5923382323e-09    1.2391636812e-09    1.2102596925e-09    9.7985626022e-10    7.8298515197e-10    5.7713783235e-10    4.8071999792e-10    4.5066381499e-10    3.0599153742e-10    2.4172550197e-10    2.6017023867e-10    1.5637333213e-10    1.2818105350e-10    1.0230010637e-10    8.5572540138e-11    8.0905856693e-11    2.9887684095e-11    1.9653352210e-11    2.6186284580e-11    2.9848837112e-11    1.5227398485e-11
   6.2500000    2.7799207395e-10   -3.4762155716e-10   -5.9696524008e-09    4.9629839983e-08    6.3902717461e-08    2.4180932074e-08    9.3018109990e-09    3.1234480041e-09    8.2020008316e-10    1.1965889826e-10    3.7364689923e-11   -8.0158440188e-12   -1.4124140798e-12   -1.9927687529e-09    3.9133936768e-09    1.6801149649e-08    1.8041473670e-08    1.3122172078e-08    9.6963820074e-09    6.2965914126e-09    3.8865685854e-09    2.8094209884e-09    1.6286835313e-09    1.0682338244e-09    5.0099501760e-10    3.3582910756e-10    1.6496979563e-10    5.4043653790e-11    2.1500978655e-11   -2.9024445743e-12    2.5686945629e-12   -1.8428374724e-13   -7.9498612658e-15   -8.8554663770e-15    5.6362072326e-13    3.3960223916e-12   -2.2810546914e-10    1.4224890568e-10    2.4648643808e-09    3.9606440689e-09    4.5200836044e-09    4.2019626609e-09    3.7744580049e-09    3.2344725103e-09    2.8028693409e-09    2.4445094197e-09    2.0715488263e-09    1.5813076189e-09    1.2558368105e-09    1.0352662366e-09    8.6551544879e-10    6.4574430605e-10    5.5631261992e-10    4.5052418114e-10    3.4880346407e-10    2.6592217224e-10    2.0241179257e-10    1.7472057933e-10    1.2663694167e-10    7.0982691708e-11    5.0864065663e-11    4.9994611973e-11    4.5656817261e-11    2.6623929661e-11
   7.5000000   -9.0739098018e-09   -3.0031188840e-09    2.5456566772e-08    4.1449553559e-08    6.7157575614e-08    3.0965240810e-08    1.3556238505e-08    5.1389430247e-09    1.2267892781e-09    2.2885297826e-10    4.5208377416e-13   -7.6953474260e-11   -7.6079651789e-11   -4.5420890959e-09    7.6561138752e-09    1.5375726900e-08    1.9781865217e-08    1.5838478403e-08    1.0903712617e-08    7.5866589919e-09    4.4924881074e-09    3.1643867461e-09    2.0823039435e-09    1.3467770190e-09    4.9679596576e-10    4.5214820507e-10    1.6678870542e-10    3.8756703010e-11    5.8789175214e-11   -8.8103112783e-12    1.3185005899e-12    9.9475663696e-13   -3.7891057176e-13   -2.2729891730e-13   -1.0069289986e-12    3.1967008092e-11   -4.4553864331e-10    1.1378479742e-09    2.7553114711e-09    4.6694266680e-09    5.1548136058e-09    4.8088784802e-09    4.4750918882e-09    3.6887385854e-09    3.3630943991e-09    2.7820429996e-09    2.3755045574e-09    1.8297058164e-09    1.4806420291e-09    1.2356715048e-09    9.4483016145e-10    7.6787340736e-10    6.8338010376e-10    4.6824710213e-10    4.2421701196e-10    3.1277650145e-10    2.2947755110e-10    2.0133249351e-10    1.1164483561e-10    9.1166667302e-11    7.0053622464e-11    5.5275475675e-11    3.8839522270e-11    2.6527188046e-11
   8.7500000   -1.6158416521e-08   -2.5872140794e-08    5.1128377217e-08    1.5993420243e-08    2.6144658641e-08    2.0348744642e-08    9.8145072351e-09    3.6827857202e-09    1.1528952799e-09    1.6665161013e-10   -9.1581703526e-11   -7.1281035884e-11    1.0687771523e-10   -1.4396454893e-09    9.3601764757e-09    5.2539737738e-09    1.0429808085e-08    1.0379393624e-08    6.4148699964e-09    5.1493997972e-09    3.1779876371e-09    1.7505155214e-09    1.3613340286e-09    7.6516807766e-10    3.7310423715e-10    2.9492349043e-10    8.1548085956e-11    1.5290862729e-11    5.6902133792e-11    2.8450731894e-12   -5.9155662673e-12    2.1538124222e-12   -6.5017174226e-13   -1.8094090108e-13   -5.4396665245e-12    3.1214416900e-11   -3.2636105120e-10    1.7850010398e-09    1.7705841595e-09    2.9674142630e-09    3.1384450159e-09    3.0160042969e-09    2.8753837648e-09    2.3122131922e-09    2.1876816906e-09    1.7099463565e-09    1.3995942083e-09    1.1526885634e-09    9.4205565174e-10    7.7770741631e-10    4.9365054275e-10    4.9586266545e-10    4.2946993628e-10    2.4252835739e-10    2.6835605160e-10    1.7919707429e-10    1.3071344602e-10    1.0609344943e-10    2.7197631979e-11    6.4248635156e-11    5.4312356232e-11    2.8111413995e-11    5.9382601170e-12    6.2823920153e-12
  10.0000000   -1.8290698410e-08   -4.6446407535e-08    3.9650711974e-08   -2.9441521966e-08   -5.4564141768e-08   -2.4110049616e-09   -2.4219759626e-09   -1.5207712863e-09    3.1520728955e-10    2.3337152266e-11    1.6456329367e-11   -6.3260101714e-12    1.5674345097e-10    6.0460122035e-09    6.7570414981e-09   -8.4166152520e-09   -7.1919347684e-09   -2.8157597703e-09   -2.9680999657e-09   -1.6727469939e-09   -5.4862392036e-10   -9.2325377662e-10   -5.8470821682e-10   -6.3933762166e-10   -4.5607989638e-11   -1.3640345351e-10   -1.1452574526e-10   -3.3506701855e-11   -9.3590732927e-12    2.5172450577e-11   -1.2238513004e-11    8.5040960051e-13   -3.1600680475e-13    3.0764276074e-13   -2.9751144994e-12   -7.5449983047e-11    2.8047793510e-10    1.5217432565e-09   -2.6654246377e-10   -8.3519719111e-10   -1.1429984739e-09   -9.1644062925e-10   -8.0962774139e-10   -7.3662835359e-10   -6.2516697988e-10   -6.8708648550e-10   -7.1742761470e-10   -4.5502261687e-10   -3.3307689243e-10   -3.5684795027e-10   -4.2761846244e-10   -1.9749946335e-10   -2.1068021151e-10   -2.0392068529e-10   -1.3301666680e-10   -1.3805662829e-10   -9.4377108167e-11   -1.1130971793e-10   -9.9790626025e-11   -1.7972313738e-11   -6.4044525260e-12   -3.0634912328e-11   -4.3410405622e-11   -3.1124162406e-11
  11.2500000   -7.2229019755e-09    1.5230215940e-08    5.4459877095e-09   -7.8512976836e-08   -1.1656226495e-07   -3.5315250925e-08   -1.5910489332e-08   -5.8748828538e-09   -7.0489151350e-10    1.8241526418e-12    1.3402781799e-10   -4.6838364732e-11   -1.8250541169e-09    9.5251214434e-09   -1.3793444905e-09   -2.0536102016e-08   -2.6202182588e-08   -1.9218071807e-08   -1.3852040707e-08   -1.0475054965e-08   -6.2808624265e-09   -4.2429624573e-09   -3.0510168491e-09   -2.0802871299e-09   -8.1690148029e-10   -6.6589252214e-10   -3.2530922814e-10   -1.0142727328e-10   -9.1035809346e-11    2.7570829001e-11   -4.7203647317e-12   -3.7866770298e-12    5.0804431376e-13   -3.0291598070e-13    1.7985491152e-11   -2.4126460251e-10    1.0476852345e-09    2.6430973088e-10   -2.6750736953e-09   -5.2345318900e-09   -6.0167653983e-09   -5.5693166089e-09   -5.1766917736e-09   -4.4037875121e-09   -4.0334805719e-09   -3.5933708914e-09   -3.1681623449e-09   -2.4684345647e-09   -1.9377684299e-09   -1.7845513902e-09   -1.4818762714e-09   -1.1188468123e-09   -9.9917657411e-10   -7.3928055088e-10   -6.5278073766e-10   -5.2294713955e-10   -3.8000091737e-10   -3.6368142648e-10   -2.2221222363e-10   -1.3402259202e-10   -9.6901045608e-11   -9.9657515135e-11   -9.0695748880e-11   -6.6986059448e-11
  12.5000000    3.6415128411e-09    6.5514751176e-08   -4.4163059076e-08   -9.5273167613e-08   -1.2425149076e-07   -6.7078588378e-08   -2.8388618912e-08   -9.7580040567e-09   -2.9418472470e-09   -2.7235810862e-10   -1.1486384706e-10   -8.9302637608e-11   -3.5399137043e-09    6.0737471423e-09   -1.2013730394e-08   -2.6854957166e-08   -3.7461664799e-08   -3.0886857203e-08   -2.1214142414e-08   -1.6247952521e-08   -1.1066813186e-08   -7.0725738506e-09   -5.0590806550e-09   -2.7949482384e-09   -1.6215470981e-09   -1.0179951289e-09   -4.4897134656e-10   -1.6701294201e-10   -1.1804015510e-10   -8.9598322911e-12    1.6732551316e-11   -7.6357033956e-12    1.0444970433e-12   -3.5419112680e-12    3.6177235210e-11   -2.4360936939e-10    1.3332740051e-09   -1.4497441923e-09   -4.4774509314e-09   -8.1294603878e-09   -9.1880548892e-09   -8.8312738572e-09   -8.1865057073e-09   -7.0551020320e-09   -6.4548421294e-09   -5.6705127132e-09   -4.8055132644e-09   -3.9470729111e-09   -3.1862067524e-09   -2.8163916432e-09   -2.1791713686e-09   -1.8589015361e-09   -1.5498713897e-09   -1.1430721886e-09   -1.0453471395e-09   -7.8422201820e-10   -6.0205635564e-10   -5.0828616009e-10   -2.8902413334e-10   -2.3315768939e-10   -1.7731781313e-10   -1.4416769304e-10   -1.1294215828e-10   -7.6938602641e-11
