# time	E	J /n#
0.0	122538398534.5992	0.0000
1.0	86796490.0745	2828.5837
2.0	48818440.9122	99204.5048
3.0	13513373.7482	1613823.3968
4.0	6952016.7545	13267770.9755
5.0	4447086.5947	-57455135.0401
6.0	3512252.1352	2798822.1570
7.0	3568150.5598	4628269.6728
8.0	4476998.7197	22929450.3702
9.0	3662018.3916	-45824485.9411
10.0	9696824.3902	-94465771.6771
11.0	18979639.9242	-169822193.2350
12.0	7190739.7683	108200717.3273
13.0	4187991.3452	-26545460.1322
14.0	11044686.2226	-492591780.2899
15.0	25083312.3106	208313085.6959
16.0	20829892.0245	876474188.3844
17.0	8427240.9524	-138045133.4274
18.0	10607812.6952	-8950250.2219
19.0	25962821.9420	892174571.7671
20.0	8770162.5605	378292783.4947
21.0	11087995.2044	-298647692.4163
22.0	37258852.6735	175639485.9996
23.0	50485771.0197	2457566210.8168
24.0	26818471.0449	1727337186.2877
25.0	15273861.2818	-631448504.7493
26.0	23244786.8611	96417195.9145
27.0	16798693.5166	1066998911.3620
28.0	10414414.5229	91417856.8702
29.0	31396405.1586	-648239778.5498
30.0	30027350.2201	1098175790.1819
31.0	27138403.7939	2244607627.3579
32.0	11641735.5464	-365123990.5164
33.0	30532807.7245	819569023.7911
34.0	23210888.1381	1827822513.9428
35.0	24468903.9240	1935535121.4190
36.0	26245162.8456	-811912102.5686
37.0	45175254.6033	2704808204.1784
38.0	37205058.4355	3728398906.8032
39.0	24770992.5074	-692443752.1327
40.0	32168317.2077	1354965800.7805
41.0	35837499.1851	3049762185.1026
42.0	12310340.9761	659077377.4121
43.0	24045376.3071	-484178200.6832
44.0	76089616.6277	6394381281.4965
45.0	25369170.1918	2630763388.0526
46.0	16210050.7682	287282488.6346
47.0	36200237.4436	1726839144.4025
48.0	27287841.6799	2801142030.6487
49.0	15968975.0436	1235179754.9661
50.0	24063089.5255	477865730.2033
51.0	63265210.5029	5639281077.3105
52.0	26139321.8239	2798786337.9410
53.0	11223075.7535	76729819.9246
54.0	26313492.1999	1808994445.1085
55.0	40217398.6374	5131525621.2443
56.0	15492488.6524	1095618375.6736
57.0	20612379.2169	641335290.5472
58.0	47188974.5888	4475009844.0056
59.0	29138656.0635	3108116999.0869
60.0	13837852.9834	139973578.1294
61.0	36265098.0029	2388449397.8975
62.0	53306436.4356	7547999923.8801
63.0	22637110.0175	1910640329.3785
64.0	22792841.1539	965218370.6482
65.0	84380135.7730	11545597848.5379
66.0	33023969.2047	3294901792.9334
67.0	16027739.9057	118427423.4696
68.0	24353160.4001	1894217926.0303
69.0	24641404.7733	2424611510.8583
70.0	18646165.2800	-61311393.7604
71.0	22844278.2251	1545651167.6379
72.0	59310546.4778	7318847847.9335
73.0	19264629.6941	923378238.1478
74.0	21142382.3520	493737971.4756
75.0	35469049.1685	3054998700.6706
76.0	33381109.7112	3250497184.1511
77.0	17505795.0696	430237294.8989
78.0	46641906.0612	3540538837.0941
79.0	68794360.7873	7750283957.9458
80.0	26915044.4647	425712047.5058
81.0	48361867.8701	2419987035.4863
82.0	42256376.4035	5077227458.5539
83.0	21115999.1323	1064998218.4800
84.0	17638586.5249	369670782.1308
85.0	37524563.2595	3550655175.0655
86.0	62344495.1790	7060318805.9700
87.0	28777176.7423	1212207394.8271
88.0	32421763.6264	1278074262.0838
89.0	87365754.4596	10852757579.9377
90.0	27405090.9305	772188464.1639
91.0	26446117.8590	404430082.1173
92.0	32657423.4762	2096086004.5713
93.0	27312060.0925	1406874161.9829
94.0	23936407.9953	489363674.3377
95.0	33266129.9842	2155773448.2158
96.0	60912673.0269	6917311004.4161
97.0	26258459.7109	581508004.7842
98.0	56906030.1273	4829871505.8385
99.0	44584835.3650	4945885523.1212
100.0	23472096.5861	401408177.6481
101.0	25605202.7077	983776529.1012
102.0	40574704.5542	2760715650.7698
103.0	30923037.7504	1361606258.5081
104.0	25704235.0154	465658311.2719
105.0	28836744.8502	1802911113.1116
106.0	28342800.2825	1300086304.7674
107.0	32075427.1640	24871367.8759
108.0	36067209.8618	2110542169.2927
109.0	40588827.0025	4569211435.7692
110.0	30027944.0451	393144381.9470
111.0	48841587.2656	3580721162.5404
112.0	45841199.4655	4538482287.6166
113.0	27564547.2078	758217522.4572
114.0	31045172.8974	410706904.1480
115.0	30177381.0242	3755728222.3633
116.0	56345758.5281	5790229588.8177
117.0	26522160.2850	246664179.0898
118.0	40621506.1991	2731850877.1970
119.0	43139127.1022	3728218524.0653
120.0	30755114.2737	-95446510.6145
121.0	33178072.4794	1635677847.6109
122.0	30211129.0654	2225607933.4051
123.0	46010263.6349	2565138664.0405
124.0	26343292.9609	614154790.8007
125.0	54551076.5736	5048436520.3173
126.0	71404128.7709	8226156350.7177
127.0	35611974.0134	99884991.9524
128.0	36824763.3801	4335033297.8423
129.0	69270259.7579	11207821718.1221
130.0	50921080.5995	-1200873135.9007
131.0	29607882.2368	1777725401.1116
132.0	50836166.5008	4788729840.3175
133.0	54105159.7753	312441871.2921
134.0	46061303.4949	901332549.2840
135.0	54647680.1871	4871617479.9532
136.0	39954478.3811	1881266604.4774
137.0	37531680.3408	-225395450.2975
138.0	59709839.0962	7446744556.4562
139.0	41092494.3449	2024662627.2299
140.0	61021134.0974	-3490017662.3875
141.0	118450227.0699	9784893282.7158
142.0	113708492.7577	20781336854.8980
143.0	64940254.8417	-1230053989.9035
144.0	48853198.0056	1291870737.3311
145.0	89121821.4711	14356649622.6576
146.0	39869570.8029	1234960720.8631
147.0	40349352.3068	-194876209.7426
148.0	73267452.3560	5903516021.6331
149.0	96608232.3875	14506469112.3905
150.0	48941940.4181	-2698775848.3100
