#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
   1.0000000    2.4404181246e-16   -4.8195267174e-16    1.3031779948e-16    8.0022964004e-17    3.0668895969e-17   -4.5792539299e-17
   2.0000000   -4.5865860042e-16   -8.4179591901e-16   -1.1921042742e-18    8.6215395852e-17    1.6569279738e-17   -6.5355693192e-17
   3.0000000    1.2302211865e-16    3.9480401936e-17    2.1553413448e-17    1.1769702279e-17   -2.8888614617e-17   -1.2535160614e-16
   4.0000000    5.5745441414e-16    2.0633929121e-16   -3.7028344061e-17   -5.4337206514e-18   -2.8648049214e-17   -6.3366211216e-17
   5.0000000   -2.6194713330e-16   -1.5519932702e-17    5.1319158327e-17    3.3677092084e-17    1.4605573363e-17    2.3977808035e-18
   6.0000000    1.9476357622e-16    9.2524567946e-17    1.3986581215e-17    8.9256051709e-17    4.8103735941e-17    4.5116053566e-17
   7.0000000    1.2363010858e-16    5.2946434995e-16   -2.0960168912e-17   -2.7225195115e-17   -1.8383816091e-17    4.0139898347e-17
   8.0000000    6.5328375724e-17    6.3975838221e-16   -1.2429643231e-16   -2.0983251326e-16    1.2171144078e-17    2.9422156809e-17
   9.0000000    6.5594720470e-17   -4.7245506535e-16    2.1320661266e-16   -1.6114424233e-16   -1.4057707526e-17    2.7929928150e-17
  10.0000000   -8.4230661016e-16   -9.6364750271e-17    2.2502393711e-16    6.7898067643e-17    3.1737430720e-18    1.2746072463e-17
  11.0000000   -3.1307178656e-16   -2.1259936691e-16   -9.8531227709e-17    8.3202267201e-17   -1.4808085845e-17   -1.0013172557e-16
  12.0000000    2.1811747905e-16   -1.5215846852e-16   -1.8208937575e-16    7.7370524983e-17   -1.0975712828e-17   -7.6468150124e-17
  13.0000000    8.4652449954e-16   -4.3328999896e-16   -1.6799718393e-16    1.1390175381e-16   -4.3357846454e-17   -9.3369124591e-17
  14.0000000   -1.2647334366e-16   -2.3367214408e-16    3.8678544881e-17    1.0358790586e-16   -3.3698959944e-17   -9.2849273204e-17
