#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
   0.0000000    2.5295657536e-16   -1.3992383368e-17   -1.0453030481e-16    1.3161021307e-17
   0.2500000    1.2196978131e-16    2.4193551241e-17   -7.7397137598e-17    3.2907135283e-17
   0.5000000   -1.0275674461e-16    2.5310415847e-17   -7.0894988608e-17   -2.7482980563e-20
   0.7500000   -3.7199069651e-16    3.6268368424e-18   -4.4430849446e-17   -1.1833963140e-17
   1.0000000   -4.8599975046e-16   -7.2952834393e-18   -1.4092955031e-18    2.1248855521e-17
   1.2500000   -6.3747679456e-16    7.0447636828e-17    8.4654712618e-20   -2.7110683174e-17
   1.5000000   -5.1217276288e-16    8.3273415424e-17    4.7650185793e-17   -8.9633072394e-18
   1.7500000   -4.7107383798e-16   -2.3958357813e-17    7.1343562179e-17    5.2707272098e-18
   2.0000000   -3.1287518102e-16    1.7665529308e-17    9.4049932178e-17   -1.2088690237e-18
   2.2500000   -2.6443075099e-16   -2.2702071167e-17    1.2802419445e-16    5.0863109219e-18
   2.5000000    1.4407634596e-18    6.7362448767e-17    6.9824291436e-17    1.4024826784e-17
   2.7500000    3.8011508097e-17    7.8822470939e-17   -4.6958386540e-18    7.4687087038e-17
   3.0000000    1.7033411034e-16    1.3664463403e-16    8.6240683045e-17    4.4375054774e-17
   3.2500000    2.1870631404e-16   -6.9412874500e-17   -7.1186968697e-18    6.9361295219e-17
   3.5000000    2.0584572403e-16   -2.1616371650e-17    6.5622505127e-17    8.2602923237e-17
   3.7500000    9.6338622835e-17   -3.1309712430e-17   -3.9552141381e-17    1.0655590006e-16
   4.0000000    1.1228032347e-16   -9.5597729089e-17    3.6195292258e-17    4.9406846673e-17
   4.2500000   -5.1063510122e-18   -1.2503410149e-17    3.9116895040e-17    3.4229619211e-17
   4.5000000   -6.7241293278e-17    6.7085156989e-17    2.7930137154e-17   -3.5432853078e-17
   4.7500000   -1.4998916105e-17    4.9162611408e-17   -4.4979161832e-17   -3.7582887902e-17
   5.0000000   -6.6656436496e-19   -7.1518977338e-17   -1.0272678589e-16   -5.0599129651e-17
   5.2500000   -5.2093881264e-17   -1.9732372508e-16   -1.4714315619e-16   -6.5903047947e-17
   5.5000000    2.3844401913e-17   -2.3030833712e-16   -2.8744954466e-17   -9.7959892092e-17
   5.7500000    1.0437170119e-16   -2.7141764984e-17   -9.4929830912e-17   -1.0987211529e-16
   6.0000000   -9.1891020925e-18   -2.0297523248e-16   -1.4099290462e-16   -5.1831939048e-17
   6.2500000   -1.3883691808e-16   -1.2328338868e-16   -2.1354607697e-16   -7.3174259498e-17
   6.5000000    2.9452813894e-18   -3.4514881632e-17   -2.1181868484e-16   -1.2172426443e-17
   6.7500000    9.6489412864e-17    1.2610445256e-16   -2.1286824967e-16   -4.9243244726e-17
   7.0000000    1.9483394423e-16    9.6034144998e-17   -2.6250401149e-16   -6.4720625009e-17
   7.2500000    1.1410195087e-16   -4.9561771901e-17   -1.9448419896e-16    2.2181182383e-17
   7.5000000    2.3502213600e-16    2.4867591275e-17   -2.0813204948e-16    1.9706823294e-17
   7.7500000    5.5662535027e-16    5.8170569612e-17   -1.3321462010e-16    5.4546804819e-17
   8.0000000    5.8738910130e-16    2.1765748254e-16   -1.6219909473e-16    6.1507927135e-17
   8.2500000    5.1603837520e-16    2.2959266888e-16   -6.6535747350e-17    1.5959592337e-16
   8.5000000    2.4895151302e-16    8.4333969348e-17   -7.8116594724e-17    1.0498704039e-16
   8.7500000   -1.9927177959e-16   -4.1078776293e-17   -3.4366315885e-17    1.8808197281e-16
   9.0000000   -1.0162542406e-15   -2.4272997181e-16   -3.7559640269e-18    1.5435051750e-16
   9.2500000   -1.7880615750e-15   -3.6469075973e-16    9.0292173577e-19    1.3806759206e-16
   9.5000000   -2.6223454630e-15   -2.8639819154e-16    3.8879875191e-17    1.3050827622e-16
   9.7500000   -3.2445095057e-15    4.7063309663e-17    7.6414016633e-17    1.4877048045e-16
  10.0000000   -2.8721933038e-15    2.8210096885e-16    1.0411125934e-16    1.3277554485e-16
  10.2500000   -1.8287652769e-15    6.6795748736e-16    9.2247896844e-17    6.3673803368e-17
  10.5000000    6.2768721833e-16    8.6771583848e-16    1.3790793442e-16    1.2529104686e-17
  10.7500000    3.9382984469e-15    6.8778798605e-16    6.5994589885e-17    8.4895708624e-17
  11.0000000    8.4042846516e-15    5.5012784162e-16    1.0133075519e-16   -4.2662182082e-17
  11.2500000    1.2908791176e-14    5.7990761371e-16    1.5211863228e-16   -5.4870527638e-17
  11.5000000    1.6135005383e-14   -3.7724923518e-16    5.1495468513e-17   -1.3071585853e-17
  11.7500000    1.7212380955e-14   -1.8658247320e-15   -3.9580396786e-17   -1.1075581895e-16
  12.0000000    1.4200004425e-14   -3.5299189757e-15    8.9946565507e-17   -5.9395425551e-17
  12.2500000    6.6133003991e-15   -4.7689840457e-15    1.4486988390e-16   -5.5239813080e-17
  12.5000000   -5.7585918860e-15   -5.4693385527e-15    1.2202418816e-16   -7.1689648952e-17
  12.7500000   -2.2389312061e-14   -5.1673515722e-15    7.1253928329e-17   -7.0348559688e-18
  13.0000000   -4.1976257129e-14   -3.3027709493e-15    1.1502250632e-16   -7.4217493117e-18
  13.2500000   -6.1524619163e-14   -4.0490161482e-16    1.1172275384e-16   -1.0727671088e-16
  13.5000000   -7.7655301038e-14    3.6808942946e-15    5.8252309152e-17   -1.4177635505e-16
  13.7500000   -8.5731829167e-14    8.5795874591e-15   -4.0771692381e-17   -1.2154190086e-16
  14.0000000   -8.1391426640e-14    1.3349334889e-14   -7.6024553798e-17   -1.0498919037e-16
  14.2500000   -6.1473661879e-14    1.7269215822e-14   -3.3027955546e-17   -3.4694995190e-17
  14.5000000   -2.4352075631e-14    1.9124161936e-14   -1.4266440975e-16   -3.7735275064e-17
  14.7500000    3.0476727329e-14    1.7594794410e-14   -1.3288001707e-16    4.2162902015e-17
  15.0000000    9.9813123911e-14    1.2795584255e-14   -2.2718091820e-16   -1.0234385171e-17
  15.2500000    1.7754584375e-13    4.2652840546e-15   -2.9233871698e-16   -1.0008799972e-16
  15.5000000    2.5601486502e-13   -6.2181827951e-15   -2.8499988680e-16   -6.5173980055e-17
  15.7500000    3.2544170929e-13   -1.7912205393e-14   -2.9111295148e-16   -2.6899324948e-17
  16.0000000    3.7462967666e-13   -2.7956211903e-14   -1.7993540433e-16    3.0485419888e-17
  16.2500000    3.9326804215e-13   -3.3565687218e-14   -2.5866788597e-16    3.2118874464e-17
  16.5000000    3.7261565299e-13   -3.3597774987e-14   -2.4441073656e-16    6.1809028597e-18
  16.7500000    3.0753204726e-13   -2.5886309661e-14   -2.4064207185e-16   -2.8424751161e-17
  17.0000000    1.9668553654e-13   -1.0873363503e-14   -2.6633076535e-16    1.2131575245e-17
  17.2500000    4.3663631268e-14    1.0467476232e-14   -2.7955029079e-16   -3.3119291032e-17
  17.5000000   -1.4314340010e-13    3.4780913314e-14   -3.9027713612e-16    9.8551153715e-17
  17.7500000   -3.5057394920e-13    5.7426459914e-14   -4.1634091846e-16   -4.8955378731e-17
  18.0000000   -5.6198126754e-13    7.2895211788e-14   -5.0326689017e-16    1.7699873221e-17
  18.2500000   -7.5854136470e-13    7.5962169980e-14   -4.1836550314e-16   -4.2611962663e-17
  18.5000000   -9.2255962409e-13    6.2246645461e-14   -5.7316228565e-16   -3.7935143043e-17
