#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
   0.0000000   -1.2274530816e-22    1.8166558149e-22   -5.5341199991e-24    3.9673137442e-24
   1.0000000    1.4269443901e-21    4.4380620682e-22   -2.9482641985e-24   -3.0103598868e-24
   2.0000000   -2.4661628889e-22    1.4724642161e-23    1.9067316863e-24   -1.6184676732e-24
   3.0000000    2.8292347642e-22    5.3704591548e-22   -5.7158551327e-24   -8.3737034251e-25
   4.0000000   -9.3357229200e-22    2.8135037365e-22   -5.0851038663e-26    1.7208611432e-25
   5.0000000   -1.5117387966e-21    6.0444178299e-23   -4.8412381172e-24    1.1427270647e-24
   6.0000000   -8.6023669513e-22    3.3522017580e-22    7.2153135970e-24    4.0760066157e-24
   7.0000000    3.4383929635e-22    2.8504986826e-22    2.5453086088e-25   -4.4395830912e-25
   8.0000000    7.3147459456e-22    1.0340106030e-22    5.0081976192e-25    1.9665466041e-24
   9.0000000    1.1424867407e-22    1.7270301731e-22   -5.3309782398e-24    5.7596225615e-25
  10.0000000    1.1005177880e-21    3.3854344069e-22   -1.1131927561e-25    4.0528069514e-25
  11.0000000    2.8740355855e-22    7.2332310401e-23   -1.3819989226e-23    2.3027123163e-24
  12.0000000   -2.7953726013e-22    1.9178188894e-22   -5.8048478421e-24    5.9280538859e-24
  13.0000000   -4.6109277888e-22    3.0141792053e-22    1.9661175528e-24    1.0036850716e-24
  14.0000000    5.9944086123e-22    2.0512771690e-22   -7.0279016428e-24   -3.1250843877e-24
  15.0000000    1.2531642315e-21    1.8783474436e-22   -1.9685338238e-24    3.2297005968e-24
  16.0000000    4.1224225498e-22   -1.3353670007e-22    3.0972631867e-25    4.7622338905e-24
  17.0000000    8.9586915640e-22   -2.3349603462e-22    2.1616680363e-24    2.8932115166e-24
  18.0000000    4.7412114903e-22    2.9633139137e-22    3.8656974115e-25   -2.8027535226e-24
  19.0000000    1.9851282972e-22   -2.0718902564e-23   -4.3533828233e-24    3.4635154172e-24
  20.0000000    7.4180696541e-22    1.0565756727e-22   -2.9079080122e-25    1.1565314059e-24
  21.0000000    7.9582703913e-22    3.7537336754e-23   -8.4127416185e-24   -5.8886035642e-25
  22.0000000   -5.4079329776e-23   -2.4448955842e-22   -5.6117083701e-24    2.8117000340e-24
  23.0000000    6.4034960280e-22    3.5046826819e-23    1.8835760064e-24   -1.7204819097e-24
  24.0000000   -1.2545101179e-21    3.2728007748e-24   -1.8190819347e-24    5.3010138704e-24
  25.0000000   -3.4062189441e-22   -2.6261047164e-22    1.5473551216e-24    4.8291006501e-24
  26.0000000   -3.3924767168e-22   -6.4788908195e-22   -1.5679198646e-23    9.5634469342e-25
  27.0000000   -2.1152467762e-21   -8.9869969519e-22   -4.7522136995e-24    2.1695355869e-24
  28.0000000   -4.3323913208e-21    2.9452220742e-21   -9.9188316446e-25   -9.3809695816e-25
  29.0000000    3.8434651146e-21    1.0457652966e-20    9.7098675189e-24   -1.0470112204e-24
  30.0000000    8.7960031967e-21   -2.3657091768e-21    4.8342511596e-24   -2.6839383050e-25
  31.0000000   -1.0282611603e-20   -5.5768210250e-20   -7.0121332113e-24    9.6253488433e-25
  32.0000000    2.3049600529e-21   -5.7455855241e-20   -5.0917006670e-24   -2.4843840787e-24
  33.0000000   -1.9582745189e-20    1.0883536418e-19    4.9737410049e-24   -4.4013350157e-25
  34.0000000   -2.3368674741e-20    2.2385206446e-19   -5.3591523638e-24   -7.9744641166e-25
  35.0000000   -3.5371735542e-21   -1.5107609838e-19   -9.6593594026e-24    1.9302386505e-24
  36.0000000    1.9871208318e-20   -3.2040314449e-19   -9.3167358313e-25    4.1430267529e-24
  37.0000000    8.8136702040e-20    2.4542977583e-19   -8.8347497300e-25   -3.4404260689e-25
  38.0000000   -1.3544230097e-19    1.8641051281e-19   -6.7468903058e-24    1.0530372013e-24
  39.0000000   -2.9923420691e-19   -4.5714439193e-19   -7.6589740458e-25    1.0958377687e-24
  40.0000000    5.6241617842e-19   -1.9316233556e-19    2.4417988003e-24    3.3901591179e-24
  41.0000000    5.4075782768e-19    2.9723570050e-19   -8.5469286802e-24    1.7400908398e-25
  42.0000000   -8.1504260935e-19    3.6047317446e-19   -1.3517746933e-24    9.7014336033e-25
  43.0000000   -9.1007636061e-19    4.0828132815e-19    2.3496355570e-25   -2.3726952107e-24
  44.0000000    8.6448798552e-19   -4.1018365563e-19   -1.0541018079e-23   -1.7913500746e-25
  45.0000000    6.1555580004e-19   -1.3064845523e-18   -1.1211645931e-24    6.3229188357e-24
  46.0000000   -8.5926133987e-19    5.3445972178e-22    7.0308850098e-24   -4.1011771208e-24
  47.0000000   -2.4659263798e-19    1.0138405043e-18    8.5847892126e-26    2.4430875692e-24
  48.0000000    4.0927396319e-19   -4.1179566902e-20   -7.2973089189e-24    1.5330238221e-24
  49.0000000    1.5141352299e-20   -5.7589260548e-19   -7.0707131795e-24    8.9550017106e-25
  50.0000000    1.1163860041e-19   -2.5764174524e-19   -2.8673284708e-24    9.4739628820e-26
  51.0000000    3.8420662760e-19    1.1761992613e-19   -2.2942275034e-24    2.0901007976e-24
  52.0000000    2.9877187092e-19    3.0482865616e-19   -6.2757781675e-24   -3.1562810881e-24
  53.0000000    3.1463389027e-19    2.9449274318e-19   -4.8741114515e-24   -3.9898654467e-24
  54.0000000    4.8060619627e-22    5.6018471689e-19   -3.9524407493e-24    3.5782407854e-24
  55.0000000   -2.8734348195e-19    5.7876298674e-19   -6.0785999754e-24    2.6349839200e-24
  56.0000000   -2.5418108571e-19   -1.5455474450e-20   -1.6642540790e-24    3.7777804106e-24
  57.0000000   -9.9604904953e-20   -4.4030426369e-19    1.3626701274e-23   -3.3244988602e-25
  58.0000000    1.4215957381e-19   -6.2376684332e-19    6.8039100310e-24    9.0534194111e-24
  59.0000000    2.6460227817e-19   -4.6306874982e-19    5.1868797553e-24    5.5657393203e-24
  60.0000000    1.1447870578e-19    1.6459598584e-20   -6.0671308123e-24    2.1164904546e-24
  61.0000000   -3.3062882683e-19    3.9346453067e-19   -1.0138113385e-23   -1.1760548658e-24
  62.0000000   -7.2551889034e-19    5.8337820900e-19   -7.4695396301e-25   -2.9320379873e-24
  63.0000000   -7.3399691107e-19    6.5429747031e-19   -1.3687521337e-23   -4.5976113504e-24
  64.0000000   -4.6292177447e-19    4.8050428775e-19   -5.8099047007e-24    1.1436774879e-24
  65.0000000    3.8078928494e-20   -4.9277290765e-20   -5.2323225656e-24   -7.8726450226e-25
  66.0000000    4.2936402661e-19   -5.6243747169e-19    1.1849012820e-23    1.1528875279e-24
  67.0000000    7.2025370776e-19   -6.5994103034e-19    1.7351597483e-24    1.6128819602e-24
  68.0000000    6.5220236830e-19   -4.2257527545e-19   -1.4462170909e-24    1.9233777891e-24
  69.0000000    2.6516099147e-19   -9.5428432184e-20   -1.2710896120e-25   -6.5588006572e-25
  70.0000000   -1.7774301721e-19    1.6869236000e-19    8.8046492452e-24    5.4261703769e-25
  71.0000000   -3.8161715700e-19    2.3137273046e-19    9.0405149138e-24    5.2337408423e-24
  72.0000000   -2.1342195435e-19    1.6706530829e-19    1.1885556280e-23   -3.6110968185e-24
  73.0000000   -7.8386637438e-20   -2.4268488962e-21    5.9619972383e-24   -6.6682623327e-25
  74.0000000   -1.6223886254e-19   -1.3731943098e-19    7.0284660835e-25    9.0040278667e-24
  75.0000000   -8.8658140311e-20   -9.0441436656e-20    9.7519885471e-25    2.8332563541e-24
  76.0000000    2.5089172709e-19    3.5628542373e-20    2.1355918848e-24   -2.6134079482e-24
  77.0000000    3.9490113089e-19    7.3714299210e-20   -2.3254429575e-24   -2.7029457687e-24
  78.0000000    6.3413021502e-20    3.2544460163e-20    1.5172399000e-24    1.9406378753e-24
  79.0000000   -1.6472045677e-19    4.9052616204e-20    1.3175323300e-23    3.1980946719e-24
  80.0000000    4.0452605765e-20    3.0942322548e-20   -1.1632805346e-24   -2.3682139316e-24
  81.0000000    9.1897421679e-20   -6.2873181449e-20    8.9449075536e-24    1.7531037621e-24
  82.0000000   -8.1483190003e-20   -8.7025210321e-20   -2.5559220054e-25   -9.5532848455e-25
  83.0000000   -1.0156756323e-19    1.1842801105e-20   -5.9952300792e-24   -5.1139117787e-24
  84.0000000   -8.3050423803e-21    5.4935876740e-20   -7.0325822300e-26   -2.6912486308e-24
