#       time                Edot                Jdot
#       r =           200.000000          200.000000
   0.0000000    0.0000000000e+00    5.8549039561e-14
 340.0000000   -5.7985365539e+02   -2.5128934333e-03
  20.0000000   -1.5484970037e+01    8.5099666655e-09
 360.0000000   -1.3082178050e+02    4.3294235935e-05
  40.0000000   -9.2374436992e+01    1.6888973311e-07
 380.0000000   -2.1369253913e+01   -1.5259164114e-03
  60.0000000   -1.8695877079e+02   -1.5351034198e-06
  80.0000000   -1.9557764012e+02    4.8315010774e-06
 400.0000000   -4.1093340287e+02   -3.9184593605e-03
 420.0000000   -1.0115917262e+03    1.8830572300e-02
 440.0000000   -1.3146070397e+03   -4.0549936377e-02
 460.0000000   -1.0393898729e+03    1.0587108501e-01
 480.0000000   -4.1815711863e+02    9.0269777327e-02
 500.0000000   -1.1333782586e+01   -2.9194654468e-01
 520.0000000   -2.2602772353e+02    6.1931422226e-02
 540.0000000   -9.5265462260e+02    5.3329106607e-02
 560.0000000   -1.6336978046e+03    9.2074290783e-01
 580.0000000   -1.6630002170e+03    5.2272518457e+00
 600.0000000   -1.0026246970e+03   -4.0178097858e-01
 620.0000000   -2.4621758804e+02   -1.6584143459e+00
 640.0000000   -2.3522007173e+01    5.5268261262e+00
 660.0000000   -6.2989670788e+02    4.1467532810e-01
 680.0000000   -1.5726604088e+03    1.6411783884e+00
 700.0000000   -2.1957443771e+03    4.5316246106e+00
 720.0000000   -1.8744872382e+03    7.1648667859e+00
 740.0000000   -9.3570035001e+02    8.9094357174e+00
 760.0000000   -1.1467997145e+02    1.8311670029e+01
 780.0000000   -1.3707438500e+02    3.2924489609e+01
 800.0000000   -1.0495614094e+03    5.2138254485e+01
 820.0000000   -2.1657701472e+03    9.4769266462e+01
 840.0000000   -2.6068500251e+03    1.4084157580e+02
 860.0000000   -2.0156277775e+03    1.5890899752e+02
 880.0000000   -8.4294527905e+02    9.5305385689e+01
 900.0000000   -5.4264749226e+01    3.8991250541e+01
 920.0000000   -3.0336826022e+02    6.2558761631e+00
 940.0000000   -1.4855677108e+03   -3.6270798924e+00
 960.0000000   -2.7320604325e+03    2.4429606486e+00
 980.0000000   -3.0945141727e+03    5.2052063782e+00
1000.0000000   -2.2868235453e+03    6.3260302835e-01
1020.0000000   -9.2518594452e+02   -1.2870544736e+00
1040.0000000   -6.6851289468e+01    1.5021643207e+00
1060.0000000   -4.2003250134e+02    5.6286946717e-02
1080.0000000   -1.7865829813e+03   -1.2101348122e+00
1100.0000000   -3.1870793232e+03    1.3450415734e+00
1120.0000000   -3.5853807091e+03    7.5249166758e+00
1140.0000000   -2.6852721965e+03    2.2519118977e+00
1160.0000000   -1.1503953448e+03   -5.4319588280e+00
1180.0000000   -1.2943420898e+02   -1.6827050501e+00
1200.0000000   -4.1485454577e+02    3.4191030708e-01
1220.0000000   -1.8572610198e+03   -6.9638768392e+00
1240.0000000   -3.4629397172e+03   -2.4263673001e+00
1260.0000000   -4.0990694025e+03    2.7033780588e+00
1280.0000000   -3.3112251773e+03    9.9374412085e+00
1300.0000000   -1.6593733156e+03   -8.6593324835e-01
1320.0000000   -3.2688014528e+02   -1.1303324964e+01
1340.0000000   -2.8847497974e+02    4.0093223823e+00
1360.0000000   -1.6264103557e+03    8.2209456222e-02
1380.0000000   -3.4609186459e+03   -2.5277875510e+00
1400.0000000   -4.5559388035e+03   -3.4281735540e+00
1420.0000000   -4.1704931718e+03   -3.2598356869e+00
1440.0000000   -2.5684483661e+03    8.7086922367e+00
1460.0000000   -8.4443666930e+02    5.4089318632e+00
1480.0000000   -1.9054136771e+02   -1.4387948349e+00
1500.0000000   -1.0917211473e+03    1.2853909981e+01
1520.0000000   -2.9963611444e+03    1.9730749095e+01
1540.0000000   -4.6832123619e+03   -7.0937358394e-01
1560.0000000   -5.0645154820e+03   -1.9791922176e+01
1580.0000000   -3.8980766899e+03   -1.2234924419e+01
1600.0000000   -1.9485274813e+03    7.4210594546e+00
1620.0000000   -4.8960438070e+02    3.3135062527e-01
1640.0000000   -4.8747749682e+02   -3.3603704622e-01
1660.0000000   -1.9861021630e+03    1.6294240803e+01
1680.0000000   -4.0797138096e+03    1.8282105873e+01
1700.0000000   -5.4877590666e+03    3.1779049543e+00
1720.0000000   -5.3517522024e+03   -7.6030705909e+00
1740.0000000   -3.7652025696e+03   -6.4682477164e-01
1760.0000000   -1.7132869867e+03    9.2144918442e-01
1780.0000000   -4.6737930648e+02    2.3892682449e+00
1800.0000000   -8.1108011351e+02    4.4427289515e+00
1820.0000000   -2.5732415391e+03    7.4515010373e+00
1840.0000000   -4.7362601718e+03    1.2751483464e+01
1860.0000000   -6.0445648339e+03    1.1688960409e+01
1880.0000000   -5.7463522963e+03    9.0665110484e+00
